,gen,nevals,mean_training_error,std_training_error,min_training_error,max_training_error,testing_error,std_testing_error,avg_size,elite_size
0,0,500.0,759636137208.02,84589056547742.52,77.242718,379650628930900.0,,,,
1,1,418.36,6043341811.532,840570681455.7802,60.512964,2973800918331.8,62.69329,95.28166813316925,3.33072,4.34
2,2,419.24,96560592510.31,12082780444632.266,58.283258000000004,48253722501382.6,59.737638,86.05223303262386,3.75304,4.74
3,3,419.32,8701396704.808,882218325615.767,51.398498000000004,4048816678507.12,52.715832,82.09159902366139,4.06832,5.6
4,4,419.02,29531573806039.066,4629599391391490.0,44.59185,1.476569070677664e+16,46.31068,69.56797791844896,4.50024,5.98
5,5,418.56,3345111718.7862,387095726971.51544,38.500694,1605362780378.48,39.519176,57.09971454224618,4.8784,6.7
6,6,419.56,1981143720288.1484,309771954111083.25,40.950408,990485450869331.5,41.886168,66.84556610916088,5.21996,7.04
7,7,419.36,4938339093414.885,644800776593057.6,36.679996,1983995217862689.5,37.427796,60.30484475557167,5.55664,7.2
8,8,420.0,4892936128509.142,630265457059076.2,35.410722,2446413362083025.5,36.335432,55.50717643070308,5.85632,8.58
9,9,418.6,14737570775.99,2209430441774.84,33.537554,7364939722476.74,34.79138,53.49577474563949,6.46228,9.58
10,10,419.88,362281430692.9646,55939876785597.58,32.131282,181123537206673.28,33.130026,52.33554381850446,7.0414,10.52
11,11,417.58,1654257784882.6736,260899872855433.03,28.660486,827116618500525.8,30.015146,47.32325052470931,7.5808,10.58
12,12,417.38,258203017.1826,14633896690.245857,27.454332,119371997225.5,28.533436000000002,44.842225365197926,8.20152,10.56
13,13,419.88,490568457.9718,34768298507.26007,25.924452,213134176433.94,26.72214,41.56211558140417,8.8022,11.74
14,14,420.44,516038962.617,38172443774.236275,25.418412,239863608062.72,26.426898,41.62707158016283,9.45212,12.38
15,15,418.18,123353179033.9382,18400990442851.77,24.559362,61645547237187.1,25.868262,41.029518600400365,10.33404,11.38
16,16,418.42,1000074092.1794,57608037312.521736,23.447688,379087669012.162,24.650354,40.37289447536056,11.23236,14.68
17,17,420.32,6697327753009.793,962482077460064.1,22.744556,3082991206650686.0,23.70267,40.485712384086796,11.9512,14.52
18,18,420.74,62759038130.68744,9329922534966.51,22.111838,31370403752448.707,23.397734,38.57486552037997,13.08744,15.54
19,19,422.96,4783199127.7706,669953510829.3381,21.219956,2380430980713.9,22.407294,37.82483698264674,14.40976,18.48
20,20,419.86,1583865582.4291,133846883589.49316,21.052236,764468294207.72,22.10896,36.98849723364549,15.61316,18.56
21,21,421.0,305554950.1389,33174386561.02958,20.670044,150881392435.68,21.872674,36.66556747381118,16.76472,21.26
22,22,420.54,8470559731091.542,1337810677586469.8,20.452246,4235190910606843.0,21.491678,35.31206405255292,18.30248,24.4
23,23,420.1,557471004006704.94,8.771048873342866e+16,19.704346,2.7873442527929846e+17,20.894878,34.70055735324722,20.19144,24.06
24,24,420.98,1215063548159.6912,190226407427920.56,18.917294000000002,607315461619952.5,20.172304,33.030747867627824,22.39944,24.92
25,25,419.66,3270916299151.3584,516260127053480.9,18.773264,1635411278786780.5,19.917086,33.631806329306784,23.74316,28.0
26,26,421.78,47201248000577.69,5280185084739728.0,18.448529399999998,2.3600410463169076e+16,19.607926,32.656367638915384,25.59592,28.26
27,27,421.4,119643036609.373,16913372300929.379,18.1647588,59695680561434.25,19.254944000000002,31.758069838212776,26.50452,29.62
28,28,418.44,2944300062.73664,415690459135.0953,17.960125,1440810003422.14,19.100516,31.816512999576183,27.3518,31.94
29,29,417.58,10759180862.837456,1473458539805.1643,17.2635604,5342455085944.596,18.4220512,30.943862160716144,28.84168,31.46
30,30,422.5,662561082117.1375,66493811084953.52,17.1470414,330932035923872.2,18.3186652,30.429840468221318,29.5274,34.1
31,31,419.14,83398417223.24152,7730977269763.44,17.001984,19676724646550.06,18.2726696,30.732170636185135,31.02728,33.74
32,32,419.5,1753719719943.7886,151060802594016.94,16.6706834,735774241611588.4,17.9707476,30.197124697490654,32.19596,35.92
33,33,421.52,32146624485.21753,4133486236367.7266,16.3678938,15955847898926.75,17.5423742,29.526351533858705,33.67228,36.88
34,34,419.92,372852477472.55347,55282283455656.14,15.8168444,186169733358766.6,16.9922096,28.661934425976906,34.90952,38.0
35,35,420.94,21091049039.730045,2595863763972.7964,15.6872934,10503765877344.062,16.8451562,28.995168757999117,35.91512,39.26
36,36,421.12,681497019593.9218,80513003453592.56,15.2287808,294315944656138.94,16.299616,27.35299731623662,36.66512,40.96
37,37,420.48,902700669956.2761,140201554732443.53,14.8511968,451310628309630.94,15.9612474,26.895213108057312,38.73448,43.1
38,38,418.86,1077189537.683756,96059081196.56583,14.5815048,492164043324.6048,15.79321,27.140290358867166,39.62676,46.2
39,39,418.16,110969338558.10387,17405297362179.57,14.3776888,55452024594358.01,15.5305154,26.8686740436371,40.45436,46.12
40,40,417.52,207201224741.06885,32403945004075.41,14.0903264,103592844921679.38,15.0685878,25.897561276514242,41.35052,49.92
41,41,419.68,2280986542.92855,204347652456.81943,13.9034248,1053740237277.0664,14.7784142,25.533725171023516,42.5416,51.58
42,42,419.6,7650604744.97594,568625865500.7373,13.6437502,3632498073836.738,14.5329366,24.990464550384214,44.0262,52.7
43,43,420.18,346123236979.42847,54655395090578.31,13.3101442,173054714203377.53,14.332158,24.503719394871997,45.1714,53.38
44,44,419.76,957419251430.551,95083782459850.88,13.076603200000001,425716473727415.75,14.108618,24.47254766989996,48.12876,55.18
45,45,421.98,46689287828.597565,5557805286207.012,12.7493388,23321361987283.46,13.841415,24.034878908423767,50.144999999999996,57.9
46,46,420.1,1185693149.18528,135035699229.29987,12.5181152,562894742882.3,13.5578576,23.589594674886385,53.184039999999996,58.12
47,47,421.34,33728943010.85082,3044238901846.289,12.532978,16835529742821.812,13.6096368,24.181336351764266,52.68704,59.66
48,48,422.74,3847408434218.336,551381823698694.8,12.4021666,1873808239269431.5,13.5275658,23.861700366516924,53.7206,61.1
49,49,417.88,11370107751.495077,1233258263926.078,12.2227604,5658231186594.219,13.280927,23.428831530002046,55.11976,62.22
50,50,420.68,937912341733.612,144044724856761.94,11.9183144,455940870564791.6,12.9191828,22.736152941149083,56.44544,65.6
51,51,421.5,265134900239072.47,4.1842353354024936e+16,11.7725922,1.3256784314164658e+17,12.8289392,22.69321149089608,58.1528,67.2
52,52,418.32,126807246782.02762,18101401496658.62,11.418720800000001,62783801250279.77,12.4986994,21.985673536062066,59.291,70.68
53,53,422.08,1355168237.76579,158691549225.1407,11.3013278,662653334368.4761,12.26526,22.161264616942418,60.91624,71.9
54,54,419.46,6115022136008.472,965649062155467.8,11.0036188,3056810819192471.5,11.930617,21.06260624050571,61.50532,68.7
55,55,419.04,4378693909775.621,691503767914697.4,10.9560354,2189256214937897.0,12.0081468,21.750468613844024,62.5234,72.98
56,56,418.54,349463478067.5282,55115335842026.04,10.8882428,174728499357581.3,11.9476762,21.815797793446432,63.60308,72.28
57,57,422.28,8728269403.428717,1338711776471.0176,10.7085988,4338075728652.732,11.6867842,21.21499214987392,64.1832,74.2
58,58,420.78,1284074982.779762,169683529200.99136,10.6498116,641940809506.8972,11.6050136,20.67646518096834,65.96944,76.34
59,59,417.64,2338309732057965.5,3.69337428321657e+17,10.5257032,1.1691508558737134e+18,11.5631852,21.03008009586521,67.62304,74.76
60,60,418.9,28847795506.618366,3199153001716.7827,10.3356086,14422378113724.254,11.3231384,20.56421603221081,68.70372,75.28
61,61,420.32,55153267416539.41,6316262544955918.0,10.1502734,2.755966156455005e+16,11.2035978,20.492959559135276,69.4042,78.7
62,62,420.14,46816455725509.016,6345512487470759.0,10.0095758,2.3408196949460836e+16,11.0658622,20.123742338901625,71.81492,82.62
63,63,417.66,4533497497623.524,645580233422148.6,9.9987818,2238973071153439.5,11.0483852,20.470538400073945,74.92972,84.88
64,64,420.4,2643132224426845.0,3.9618068389653184e+17,9.8256244,1.3215693021646797e+18,10.8844214,20.10812132077758,75.72092,84.34
65,65,420.52,1541113373086.6301,211113924729225.6,9.6872358,770463652878406.0,10.6443524,19.670351605989097,76.83412,86.76
66,66,420.58,16206025009708.293,2550804381913546.5,9.505908,8103005293672311.0,10.5633782,19.824711759680238,78.0416,89.24
67,67,418.14,24739384438.948784,3769218441005.1445,9.4190598,12023194411802.992,10.473002600000001,19.74572288643999,79.13195999999999,90.22
68,68,422.84,21518943208.8956,2698819800530.101,9.2821256,10702322163478.66,10.2285464,19.494527898295818,79.77984000000001,86.4
69,69,417.64,257947450223.96167,34666742552658.715,9.1247568,120451083921881.12,10.0461832,19.177276724246067,80.44192,87.28
70,70,417.3,7.271544983434437e+16,1.1481675388934253e+19,9.1217392,3.6357722639272268e+19,10.082506799999999,19.098846002820014,81.21996,90.2
71,71,421.16,7.38198169624648e+16,1.1660275674580212e+19,8.9364416,3.691000846797517e+19,9.848934,19.065906973873286,81.7298,88.32
72,72,419.56,1774172272843.772,280118937259935.8,8.861603,886750148878591.5,9.7610278,18.92568677763177,83.04147999999999,91.64
73,73,422.78,2.7296200074351213e+17,4.311583598284974e+19,8.7653876,1.3648060035499788e+20,9.7562494,18.982009470970716,84.92708,92.32
74,74,418.78,32768015328.110744,3957290521766.4355,8.607147,11848511708939.2,9.4541788,18.452060098028245,85.38572,95.4
75,75,423.04,742196092824.4578,114208780705957.89,8.4790944,371097968325144.9,9.3867452,17.798394177065976,87.71768,96.12
76,76,422.86,67055428472.3493,7104111756466.979,8.3601306,33505060793988.723,9.2411204,18.018286063078808,88.25384,98.14
77,77,421.36,9493240861290744.0,1.4995189244554445e+18,8.2313052,4.746620373670454e+18,9.11104,17.768177248802814,89.70016,98.34
78,78,420.46,1084198235.890446,90552769392.35927,8.1896836,508553507383.3004,9.0607522,17.929913846781307,90.70088,100.1
79,79,422.74,16124793527637.314,2546984483718979.0,8.0950576,8062396627760743.0,8.9076444,17.763281052413262,92.48376,101.26
80,80,420.68,35904940615.00306,4970229216217.143,8.006817999999999,17948581708550.402,8.9942122,21.139291880571026,93.11936,101.26
81,81,417.42,24639351348338.523,3890091388164984.5,8.0172898,1.2313912645787532e+16,8.9037896,17.676049411040974,93.88588,101.88
82,82,420.18,16125811447291.36,2547041053018502.5,8.034136,8062806801035941.0,8.8829028,17.707999159395115,94.57556,101.82
83,83,417.62,1.0364980526839028e+16,1.2109136593911245e+18,7.9873434,5.182486258959999e+18,8.830824400000001,17.793973904150135,94.37132,104.44
84,84,422.38,25013097055314.484,3169056985149253.0,7.951005,1.2495071351292292e+16,8.8191364,17.9257597379638,95.16692,101.68
85,85,419.02,35098137157.277275,4063322582334.4473,7.8849596,17205270620897.912,8.7366698,17.868704312581873,96.12248,106.54
86,86,417.8,1776599037381.5334,280119069383157.75,7.8592678,887913418739517.0,8.746356800000001,17.882719074846868,96.59216,105.56
87,87,421.56,10585333101.1224,993399178757.6277,7.8221328,5045835705085.06,8.698296000000001,17.85370256392214,97.61864,108.26
88,88,417.98,5.373480099163202e+16,8.48769967943023e+18,7.7644774,2.686740049571514e+19,8.6390354,17.812095101545914,98.76504,107.2
89,89,422.28,20568026615.325054,3190203790511.5493,7.6735755999999995,10152455891858.672,8.5182856,17.273841506194564,99.07388,108.2
90,90,418.82,2.1085402228901957e+20,3.3305577922023934e+22,7.713562,1.0542721114429364e+23,8.5481546,17.508537546231498,100.16456,110.06
91,91,420.02,799279192565324.4,1.2623553186982226e+17,7.6287416,3.9964057644779245e+17,8.3834288,16.609152971786973,101.00576,109.8
92,92,421.0,118227224022.70905,12799848152626.357,7.5624242,31805621208071.97,8.3462246,16.8675175511288,101.79392,113.06
93,93,419.58,43532328735.69346,5963043080242.465,7.4539688,18792304297904.957,8.2161946,16.217492663319383,102.92616,111.46
94,94,421.86,50989390043.61838,4846441819726.741,7.4776508,20851133758066.375,8.2805102,16.554183162021918,104.20212,108.5
95,95,418.06,618353483000.6489,93045342219864.98,7.4258146,295727664468077.1,8.228107,16.584457962489218,105.2798,113.64
96,96,419.64,46277835092.01237,6137275060468.088,7.3493962,22868233251929.027,8.169067,16.68245790306147,106.52604,113.7
97,97,420.7,1229284780524.2727,194155966003125.2,7.279273,614641082173552.0,8.0932988,16.595818111786716,108.09064,115.16
98,98,417.7,68300395986.84659,9527246274084.57,7.1955124,34143250134532.88,8.0564612,16.56034083590238,109.08952000000001,115.34
99,99,420.78,631702738070.3478,91747726656791.39,7.108866,315848091577406.2,7.9339758,16.614499969894247,109.761,114.24
100,100,420.3,779138630924.9983,115663565450907.8,7.0662084,381676750890492.06,7.8473092,16.444945573588498,109.30152,114.3
